timestamp,gpu_util%,mem_util%,mem_used_mb,mem_total_mb,temp_c
2025-11-23 05:05:02,82  45  11454  23034  83
2025-11-23 05:05:07,0  0  18148  23034  79
2025-11-23 05:05:12,0  0  18148  23034  77
2025-11-23 05:05:17,0  0  18148  23034  75
2025-11-23 05:05:22,0  0  18148  23034  73
2025-11-23 05:05:27,100  62  18660  23034  77
2025-11-23 05:05:32,100  69  20200  23034  79
2025-11-23 05:05:37,87  70  20200  23034  80
2025-11-23 05:05:42,100  38  20200  23034  81
2025-11-23 05:05:47,100  65  20200  23034  80
2025-11-23 05:05:52,100  67  20200  23034  78
2025-11-23 05:05:57,100  66  20200  23034  77
2025-11-23 05:06:02,100  55  20200  23034  76
2025-11-23 05:06:07,92  100  20200  23034  74
2025-11-23 05:06:12,95  100  20200  23034  74
2025-11-23 05:06:17,100  68  20202  23034  74
2025-11-23 05:06:22,100  72  20202  23034  75
2025-11-23 05:06:27,100  70  20202  23034  75
2025-11-23 05:06:32,100  70  20202  23034  76
2025-11-23 05:06:37,100  60  20202  23034  77
2025-11-23 05:06:42,92  100  20202  23034  76
2025-11-23 05:06:47,95  100  20202  23034  76
2025-11-23 05:06:53,93  100  20202  23034  77
2025-11-23 05:06:58,85  93  20202  23034  77
2025-11-23 05:07:03,0  0  20202  23034  73
2025-11-23 05:07:08,100  55  20202  23034  76
2025-11-23 05:07:13,100  24  20202  23034  79
2025-11-23 05:07:18,100  70  20202  23034  78
2025-11-23 05:07:23,100  61  20202  23034  79
2025-11-23 05:07:28,100  69  20202  23034  81
2025-11-23 05:07:33,100  67  20202  23034  80
2025-11-23 05:07:38,100  67  20202  23034  79
2025-11-23 05:07:43,100  66  20202  23034  77
2025-11-23 05:07:48,94  100  20202  23034  75
2025-11-23 05:07:53,94  100  20202  23034  75
2025-11-23 05:07:58,0  0  20202  23034  72
2025-11-23 05:08:03,100  70  20202  23034  75
2025-11-23 05:08:08,100  70  20202  23034  76
2025-11-23 05:08:13,93  74  20202  23034  76
2025-11-23 05:08:18,100  70  20202  23034  76
2025-11-23 05:08:23,95  100  20202  23034  75
2025-11-23 05:08:28,93  100  20202  23034  75
2025-11-23 05:08:33,92  100  20202  23034  76
2025-11-23 05:08:38,95  100  20202  23034  76
2025-11-23 05:08:43,0  0  20202  23034  73
2025-11-23 05:08:48,0  0  20202  23034  72
2025-11-23 05:08:53,100  62  20202  23034  76
2025-11-23 05:08:58,100  66  20202  23034  78
2025-11-23 05:09:03,100  48  20202  23034  80
2025-11-23 05:09:08,100  70  20202  23034  81
2025-11-23 05:09:13,100  61  20202  23034  81
2025-11-23 05:09:18,100  65  20202  23034  81
2025-11-23 05:09:23,100  70  20202  23034  80
2025-11-23 05:09:28,96  100  20202  23034  77
2025-11-23 05:09:34,93  100  20202  23034  76
2025-11-23 05:09:39,94  100  20202  23034  75
2025-11-23 05:09:44,100  68  20202  23034  75
2025-11-23 05:09:49,100  68  20202  23034  75
2025-11-23 05:09:54,100  70  20202  23034  75
2025-11-23 05:09:59,100  70  20202  23034  75
2025-11-23 05:10:04,100  69  20202  23034  76
2025-11-23 05:10:09,93  100  20202  23034  75
2025-11-23 05:10:14,93  100  20202  23034  75
2025-11-23 05:10:19,95  100  20202  23034  76
2025-11-23 05:10:24,95  100  20202  23034  76
2025-11-23 05:10:29,0  0  20202  23034  74
2025-11-23 05:10:34,0  0  20202  23034  72
2025-11-23 05:10:39,100  65  20202  23034  76
2025-11-23 05:10:44,100  64  20202  23034  78
2025-11-23 05:10:49,100  58  20202  23034  79
2025-11-23 05:10:54,100  70  20202  23034  81
2025-11-23 05:10:59,100  65  20202  23034  81
2025-11-23 05:11:04,100  68  20202  23034  82
2025-11-23 05:11:09,100  69  20202  23034  80
2025-11-23 05:11:14,100  65  20202  23034  78
2025-11-23 05:11:19,93  100  20202  23034  76
2025-11-23 05:11:24,94  100  20202  23034  75
2025-11-23 05:11:29,0  0  20202  23034  72
2025-11-23 05:11:34,100  62  20202  23034  75
2025-11-23 05:11:39,100  71  20202  23034  75
2025-11-23 05:11:44,100  69  20202  23034  76
2025-11-23 05:11:49,100  67  20202  23034  75
2025-11-23 05:11:54,100  71  20202  23034  76
2025-11-23 05:11:59,94  100  20202  23034  75
2025-11-23 05:12:04,95  100  20202  23034  75
2025-11-23 05:12:10,92  100  20202  23034  76
2025-11-23 05:12:15,92  100  20202  23034  76
2025-11-23 05:12:20,0  0  20202  23034  74
2025-11-23 05:12:25,0  0  20202  23034  73
